country_wb,geo_level,level0_name,level1_name,level2_name,value
AFG,0,,,,3.62
BGD,0,,,,10.48
IND,0,,,,0.64
LKA,0,,,,29.29
NPL,0,,,,23.51
PAK,0,,,,9.51
